root 2025-02-13 18:05:35,781 INFO: Чтение файла...
root 2025-02-13 18:05:36,109 INFO: Чтение файла...
root 2025-02-13 18:05:36,428 INFO: Starting app...
root 2025-02-13 18:05:36,428 INFO: Получение шаблона...
root 2025-02-13 18:05:36,428 INFO: Finished app...
root 2025-02-13 18:05:36,428 INFO: Starting app...
root 2025-02-13 18:05:36,428 INFO: Получение шаблона...
root 2025-02-13 18:05:36,428 WARNING: Нету списка...
root 2025-02-13 18:05:36,429 INFO: Starting app...
root 2025-02-13 18:05:36,429 INFO: Чтение файла...
root 2025-02-13 18:05:36,744 INFO: Форматирование максимальных дат в обьект времени...
root 2025-02-13 18:05:36,745 INFO: Проверка есть ли вообще дата...
root 2025-02-13 18:05:36,745 INFO: Перебор дата фрейма...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,745 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,745 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,745 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
root 2025-02-13 18:05:36,746 INFO: Проверка рабочих дней...
root 2025-02-13 18:05:36,746 INFO: Проверка выходных...
root 2025-02-13 18:05:36,746 INFO: Проверка условия вхождения даты...
