root 2025-02-03 13:22:13,393 INFO: Starting app...
utils 2025-02-03 13:22:13,393 INFO: Парсинг даты...
utils 2025-02-03 13:22:13,393 INFO: Парсинг даты...
utils 2025-02-03 13:22:13,393 INFO: Парсинг даты...
utils 2025-02-03 13:22:13,393 INFO: Парсинг даты...
utils 2025-02-03 13:22:13,393 INFO: Парсинг даты...
utils 2025-02-03 13:22:13,397 INFO: Чтение пользовательского файла...
utils 2025-02-03 13:22:13,397 INFO: Преобразование пользовательского файла от json...
utils 2025-02-03 13:22:13,397 INFO: Создание url для usd...
utils 2025-02-03 13:22:13,397 INFO: Запрос данных...
urllib3.connectionpool 2025-02-03 13:22:13,400 DEBUG: Starting new HTTPS connection (1): api.apilayer.com:443
urllib3.connectionpool 2025-02-03 13:22:13,679 DEBUG: https://api.apilayer.com:443 "GET /exchangerates_data/convert?to=RUB&from=USD&amount=1&date=2025-02-03 HTTP/1.1" 429 171
utils 2025-02-03 13:22:13,680 INFO: Получение ответа...
utils 2025-02-03 13:22:13,680 WARNING: error 429!
utils 2025-02-03 13:22:13,680 INFO: Создание url для euro...
utils 2025-02-03 13:22:13,681 INFO: Запрос данных...
urllib3.connectionpool 2025-02-03 13:22:13,682 DEBUG: Starting new HTTPS connection (1): api.apilayer.com:443
urllib3.connectionpool 2025-02-03 13:22:13,948 DEBUG: https://api.apilayer.com:443 "GET /exchangerates_data/convert?to=RUB&from=EUR&amount=1&date=2025-02-03 HTTP/1.1" 429 171
utils 2025-02-03 13:22:13,949 INFO: Получение ответа...
utils 2025-02-03 13:22:13,950 WARNING: error 429!
utils 2025-02-03 13:22:13,950 INFO: Создание url для apple...
utils 2025-02-03 13:22:13,950 INFO: Запрос данных...
urllib3.connectionpool 2025-02-03 13:22:13,953 DEBUG: Starting new HTTPS connection (1): www.alphavantage.co:443
urllib3.connectionpool 2025-02-03 13:22:14,230 DEBUG: https://www.alphavantage.co:443 "GET /query?function=GLOBAL_QUOTE&symbol=AAPL&apikey=Q2MPKKIQJ21BVFJB HTTP/1.1" 200 None
utils 2025-02-03 13:22:14,231 INFO: Получение ответа...
utils 2025-02-03 13:22:14,231 INFO: Успешно!
